"Backpack","Site","eFishCatch","AirTemp","WaterTemp","pH","DissolvedOxygen","Conductivity","VolumeFiltered","eDNAConc"
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.34,67.1349754929382
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.34,83.8274039312655
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.34,89.1608341072902
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.34,93.0948801041086
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.34,38.062583154621
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.34,83.311932027644
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.03,0
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.03,0
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.03,84.8679355352788
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.03,0
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.03,0
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.03,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.26,7.34939779320021
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.26,4.37937932381108
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.26,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.26,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.26,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.26,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.24,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.24,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.24,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.24,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.24,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.24,0
"OSMOS","2",1,14,14.7,8.04,8.34,1047,1.01,126.153990063241
"OSMOS","2",1,14,14.7,8.04,8.34,1047,1.01,91.4197596178935
"OSMOS","2",1,14,14.7,8.04,8.34,1047,1.01,83.7995130070587
"OSMOS","2",1,14,14.7,8.04,8.34,1047,1.01,26.8754683141307
"OSMOS","2",1,14,14.7,8.04,8.34,1047,1.01,26.0713882743418
"OSMOS","2",1,14,14.7,8.04,8.34,1047,1.01,67.4699450238599
"OSMOS","2",1,14,14.7,8.04,8.34,1047,0.98,62.8393315182518
"OSMOS","2",1,14,14.7,8.04,8.34,1047,0.98,72.2018767665217
"OSMOS","2",1,14,14.7,8.04,8.34,1047,0.98,25.1084670348784
"OSMOS","2",1,14,14.7,8.04,8.34,1047,0.98,50.80564621036
"OSMOS","2",1,14,14.7,8.04,8.34,1047,0.98,32.0423226143366
"OSMOS","2",1,14,14.7,8.04,8.34,1047,0.98,18.5393657643747
"ANDe","2",1,14,14.7,8.04,8.34,1047,1.26,6.08854773779284
"ANDe","2",1,14,14.7,8.04,8.34,1047,1.26,0
"ANDe","2",1,14,14.7,8.04,8.34,1047,1.26,0
"ANDe","2",1,14,14.7,8.04,8.34,1047,1.26,0
"ANDe","2",1,14,14.7,8.04,8.34,1047,1.26,0
"ANDe","2",1,14,14.7,8.04,8.34,1047,1.26,0
"ANDe","2",1,14,14.7,8.04,8.34,1047,1.09,240.916780390172
"ANDe","2",1,14,14.7,8.04,8.34,1047,1.09,190.565371597936
"ANDe","2",1,14,14.7,8.04,8.34,1047,1.09,231.018378335298
"ANDe","2",1,14,14.7,8.04,8.34,1047,1.09,150.915877882898
"ANDe","2",1,14,14.7,8.04,8.34,1047,1.09,87.7244353095363
"ANDe","2",1,14,14.7,8.04,8.34,1047,1.09,48.5407030395864
"OSMOS","3",2,14,12.7,7.74,8.07,950,1.83,0
"OSMOS","3",2,14,12.7,7.74,8.07,950,1.83,0
"OSMOS","3",2,14,12.7,7.74,8.07,950,1.83,0
"OSMOS","3",2,14,12.7,7.74,8.07,950,1.83,0
"OSMOS","3",2,14,12.7,7.74,8.07,950,1.83,0
"OSMOS","3",2,14,12.7,7.74,8.07,950,1.83,0
"OSMOS","3",2,14,12.7,7.74,8.07,950,0.98,56.4869655612691
"OSMOS","3",2,14,12.7,7.74,8.07,950,0.98,23.4805028579887
"OSMOS","3",2,14,12.7,7.74,8.07,950,0.98,15.8522580420205
"OSMOS","3",2,14,12.7,7.74,8.07,950,0.98,4.38087752309429
"OSMOS","3",2,14,12.7,7.74,8.07,950,0.98,0
"OSMOS","3",2,14,12.7,7.74,8.07,950,0.98,13.8776899113255
"ANDe","3",2,14,12.7,7.74,8.07,950,1.05,26.8124077739283
"ANDe","3",2,14,12.7,7.74,8.07,950,1.05,64.5592781712969
"ANDe","3",2,14,12.7,7.74,8.07,950,1.05,13.531003384694
"ANDe","3",2,14,12.7,7.74,8.07,950,1.05,9.33568145542781
"ANDe","3",2,14,12.7,7.74,8.07,950,1.05,27.0207413052142
"ANDe","3",2,14,12.7,7.74,8.07,950,1.05,20.027386202022
"ANDe","3",2,14,12.7,7.74,8.07,950,1.05,60.3343129777719
"ANDe","3",2,14,12.7,7.74,8.07,950,1.05,59.2314581722432
"ANDe","3",2,14,12.7,7.74,8.07,950,1.05,28.6752530814075
"ANDe","3",2,14,12.7,7.74,8.07,950,1.05,68.5858177210283
"ANDe","3",2,14,12.7,7.74,8.07,950,1.05,36.9861306136956
"ANDe","3",2,14,12.7,7.74,8.07,950,1.05,59.5950476619194
"OSMOS","4",10,20,15.4,8.09,10.94,1136,0.95,41.6547603009851
"OSMOS","4",10,20,15.4,8.09,10.94,1136,0.95,0
"OSMOS","4",10,20,15.4,8.09,10.94,1136,0.95,23.8661901627732
"OSMOS","4",10,20,15.4,8.09,10.94,1136,0.95,0
"OSMOS","4",10,20,15.4,8.09,10.94,1136,0.95,36.5768212858922
"OSMOS","4",10,20,15.4,8.09,10.94,1136,0.95,0
"OSMOS","4",10,20,15.4,8.09,10.94,1136,0.98,145.166339396124
"OSMOS","4",10,20,15.4,8.09,10.94,1136,0.98,29.5003945745756
"OSMOS","4",10,20,15.4,8.09,10.94,1136,0.98,27.1174725838312
"OSMOS","4",10,20,15.4,8.09,10.94,1136,0.98,48.8983395521031
"OSMOS","4",10,20,15.4,8.09,10.94,1136,0.98,59.3122568657413
"OSMOS","4",10,20,15.4,8.09,10.94,1136,0.98,43.5590235307857
"ANDe","4",10,20,15.4,8.09,10.94,1136,1.1,25.3505185323696
"ANDe","4",10,20,15.4,8.09,10.94,1136,1.1,33.9250873919046
"ANDe","4",10,20,15.4,8.09,10.94,1136,1.1,49.5513301855958
"ANDe","4",10,20,15.4,8.09,10.94,1136,1.1,52.2243818671442
"ANDe","4",10,20,15.4,8.09,10.94,1136,1.1,89.745619016161
"ANDe","4",10,20,15.4,8.09,10.94,1136,1.1,70.7659170063406
"ANDe","4",10,20,15.4,8.09,10.94,1136,1.02,0
"ANDe","4",10,20,15.4,8.09,10.94,1136,1.02,0
"ANDe","4",10,20,15.4,8.09,10.94,1136,1.02,58.7356484806392
"ANDe","4",10,20,15.4,8.09,10.94,1136,1.02,21.9336699755229
"ANDe","4",10,20,15.4,8.09,10.94,1136,1.02,0
"ANDe","4",10,20,15.4,8.09,10.94,1136,1.02,8.50760060551203
"OSMOS","5",2,20,15.6,8.02,10.54,1375,1.05,37.2977943706628
"OSMOS","5",2,20,15.6,8.02,10.54,1375,1.05,70.6584047252441
"OSMOS","5",2,20,15.6,8.02,10.54,1375,1.05,54.1140769016697
"OSMOS","5",2,20,15.6,8.02,10.54,1375,1.05,41.9160599392097
"OSMOS","5",2,20,15.6,8.02,10.54,1375,1.05,108.666047521547
"OSMOS","5",2,20,15.6,8.02,10.54,1375,1.05,26.6364311122763
"OSMOS","5",2,20,15.6,8.02,10.54,1375,1.04,25.4940408094069
"OSMOS","5",2,20,15.6,8.02,10.54,1375,1.04,24.4315973208707
"OSMOS","5",2,20,15.6,8.02,10.54,1375,1.04,24.3494534690544
"OSMOS","5",2,20,15.6,8.02,10.54,1375,1.04,14.5933873611985
"OSMOS","5",2,20,15.6,8.02,10.54,1375,1.04,32.7721845959579
"OSMOS","5",2,20,15.6,8.02,10.54,1375,1.04,26.4821438049663
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.01,0
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.01,0
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.01,0
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.01,0
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.01,0
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.01,0
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.02,0
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.02,0
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.02,5.71577958326498
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.02,0
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.02,0
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.02,0
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.02,50.2688809969756
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.02,38.4343403885055
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.02,52.274207543893
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.02,38.170813851274
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.02,28.6085410877756
"ANDe","5",2,20,15.6,8.02,10.54,1375,1.02,33.9230823566822
