"rules","support","confidence","coverage","lift","count","p_raw","p_BH","p_BF","len","lhs"
"{} => {eDNAConc=high}",0.595238095238095,0.595238095238095,1,1,75,1,1,1,1,"{}"
"{Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17,0.152968723641291,0.191210904551614,1,2,"{Site=4}"
"{Site=3} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15,0.464309110011865,0.502253082989164,1,2,"{Site=3}"
"{pH=low} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15,0.464309110011865,0.502253082989164,1,2,"{pH=low}"
"{Site=2} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18,0.0665771760636767,0.10346651796528,1,2,"{Site=2}"
"{Site=5} => {eDNAConc=high}",0.142857142857143,0.6,0.238095238095238,1.008,18,0.563148460458562,0.570758574789083,1,2,"{Site=5}"
"{DissolvedOxygen=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33,0.0703572322163907,0.10346651796528,1,2,"{DissolvedOxygen=low}"
"{Conductivity=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35,0.19383979056381,0.220272489277056,1,2,"{Conductivity=high}"
"{WaterTemp=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35,0.19383979056381,0.220272489277056,1,2,"{WaterTemp=high}"
"{AirTemp=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35,0.19383979056381,0.220272489277056,1,2,"{AirTemp=high}"
"{Backpack=OSMOS} => {eDNAConc=high}",0.349206349206349,0.733333333333333,0.476190476190476,1.232,44,0.00219199672332873,0.00608887978702425,0.164399754249655,2,"{Backpack=OSMOS}"
"{VolumeFiltered=low} => {eDNAConc=high}",0.317460317460317,0.606060606060606,0.523809523809524,1.01818181818182,40,0.46876954412322,0.502253082989164,1,2,"{VolumeFiltered=low}"
"{eFishCatch=present} => {eDNAConc=high}",0.53968253968254,0.666666666666667,0.80952380952381,1.12,68,0.000902144334660058,0.00387042141837744,0.0676608250995043,2,"{eFishCatch=present}"
"{VolumeFiltered=high,Site=4} => {eDNAConc=high}",0.0476190476190476,1,0.0476190476190476,1.68,6,0.0408838863814645,0.0747875970392643,1,3,"{VolumeFiltered=high,Site=4}"
"{Backpack=OSMOS,Site=4} => {eDNAConc=high}",0.0714285714285714,0.75,0.0952380952380952,1.26,9,0.202790730215886,0.227004548749126,1,3,"{Backpack=OSMOS,Site=4}"
"{Backpack=ANDe,Site=3} => {eDNAConc=high}",0.0873015873015873,0.916666666666667,0.0952380952380952,1.54,11,0.0141721930936254,0.0295254022783863,1,3,"{Backpack=ANDe,Site=3}"
"{VolumeFiltered=low,Site=3} => {eDNAConc=high}",0.0317460317460317,0.666666666666667,0.0476190476190476,1.12,4,0.534254504010179,0.556515108343937,1,3,"{VolumeFiltered=low,Site=3}"
"{pH=low,Backpack=ANDe} => {eDNAConc=high}",0.0873015873015873,0.916666666666667,0.0952380952380952,1.54,11,0.0141721930936254,0.0295254022783863,1,3,"{pH=low,Backpack=ANDe}"
"{pH=low,VolumeFiltered=low} => {eDNAConc=high}",0.0317460317460317,0.666666666666667,0.0476190476190476,1.12,4,0.534254504010179,0.556515108343937,1,3,"{pH=low,VolumeFiltered=low}"
"{Backpack=OSMOS,Site=2} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,3,"{Backpack=OSMOS,Site=2}"
"{VolumeFiltered=low,Site=2} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,3,"{VolumeFiltered=low,Site=2}"
"{VolumeFiltered=high,Site=5} => {eDNAConc=high}",0.0476190476190476,1,0.0476190476190476,1.68,6,0.0408838863814645,0.0747875970392643,1,3,"{VolumeFiltered=high,Site=5}"
"{Backpack=OSMOS,Site=5} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,3,"{Backpack=OSMOS,Site=5}"
"{DissolvedOxygen=low,Backpack=ANDe} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17,0.152968723641291,0.191210904551614,1,3,"{DissolvedOxygen=low,Backpack=ANDe}"
"{DissolvedOxygen=low,VolumeFiltered=low} => {eDNAConc=high}",0.126984126984127,0.888888888888889,0.142857142857143,1.49333333333333,16,0.00447260205462114,0.0108208114224705,0.335445154096585,3,"{DissolvedOxygen=low,VolumeFiltered=low}"
"{pH=high,DissolvedOxygen=low} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18,0.0665771760636767,0.10346651796528,1,3,"{pH=high,DissolvedOxygen=low}"
"{Conductivity=high,VolumeFiltered=high} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,3,"{Conductivity=high,VolumeFiltered=high}"
"{Conductivity=high,Backpack=OSMOS} => {eDNAConc=high}",0.166666666666667,0.875,0.19047619047619,1.47,21,0.00128304014024772,0.00387042141837744,0.0962280105185789,3,"{Conductivity=high,Backpack=OSMOS}"
"{WaterTemp=high,VolumeFiltered=high} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,3,"{WaterTemp=high,VolumeFiltered=high}"
"{WaterTemp=high,Backpack=OSMOS} => {eDNAConc=high}",0.166666666666667,0.875,0.19047619047619,1.47,21,0.00128304014024772,0.00387042141837744,0.0962280105185789,3,"{WaterTemp=high,Backpack=OSMOS}"
"{AirTemp=high,VolumeFiltered=high} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,3,"{AirTemp=high,VolumeFiltered=high}"
"{AirTemp=high,Backpack=OSMOS} => {eDNAConc=high}",0.166666666666667,0.875,0.19047619047619,1.47,21,0.00128304014024772,0.00387042141837744,0.0962280105185789,3,"{AirTemp=high,Backpack=OSMOS}"
"{DissolvedOxygen=high,VolumeFiltered=high} => {eDNAConc=high}",0.142857142857143,0.6,0.238095238095238,1.008,18,0.563148460458562,0.570758574789083,1,3,"{DissolvedOxygen=high,VolumeFiltered=high}"
"{eFishCatch=present,VolumeFiltered=high} => {eDNAConc=high}",0.23015873015873,0.69047619047619,0.333333333333333,1.16,29,0.0881715134970385,0.12717045215919,1,3,"{eFishCatch=present,VolumeFiltered=high}"
"{VolumeFiltered=low,Backpack=OSMOS} => {eDNAConc=high}",0.253968253968254,0.761904761904762,0.333333333333333,1.28,32,0.00552298186888462,0.0129444887551983,0.414223640166347,3,"{VolumeFiltered=low,Backpack=OSMOS}"
"{DissolvedOxygen=high,Backpack=OSMOS} => {eDNAConc=high}",0.222222222222222,0.777777777777778,0.285714285714286,1.30666666666667,28,0.00644351091159284,0.0146443429808928,0.483263318369463,3,"{DissolvedOxygen=high,Backpack=OSMOS}"
"{eFishCatch=present,Backpack=OSMOS} => {eDNAConc=high}",0.293650793650794,0.770833333333333,0.380952380952381,1.295,37,0.0013056637735723,0.00387042141837744,0.0979247830179223,3,"{eFishCatch=present,Backpack=OSMOS}"
"{pH=high,Backpack=OSMOS} => {eDNAConc=high}",0.317460317460317,0.833333333333333,0.380952380952381,1.4,40,1.30681568177545e-05,0.000490055880665793,0.000980111761331585,3,"{pH=high,Backpack=OSMOS}"
"{Conductivity=low,VolumeFiltered=low} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17,0.152968723641291,0.191210904551614,1,3,"{Conductivity=low,VolumeFiltered=low}"
"{WaterTemp=low,VolumeFiltered=low} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17,0.152968723641291,0.191210904551614,1,3,"{WaterTemp=low,VolumeFiltered=low}"
"{AirTemp=low,VolumeFiltered=low} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17,0.152968723641291,0.191210904551614,1,3,"{AirTemp=low,VolumeFiltered=low}"
"{eFishCatch=present,Conductivity=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33,0.0703572322163907,0.10346651796528,1,3,"{eFishCatch=present,Conductivity=low}"
"{eFishCatch=present,WaterTemp=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33,0.0703572322163907,0.10346651796528,1,3,"{eFishCatch=present,WaterTemp=low}"
"{eFishCatch=present,AirTemp=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33,0.0703572322163907,0.10346651796528,1,3,"{eFishCatch=present,AirTemp=low}"
"{eFishCatch=present,pH=high} => {eDNAConc=high}",0.420634920634921,0.67948717948718,0.619047619047619,1.14153846153846,53,0.0117325039043483,0.0258805233184155,0.879937792826125,3,"{eFishCatch=present,pH=high}"
"{eFishCatch=absent,VolumeFiltered=high,Backpack=OSMOS} => {eDNAConc=high}",0.0476190476190476,1,0.0476190476190476,1.68,6,0.0408838863814645,0.0747875970392643,1,4,"{eFishCatch=absent,VolumeFiltered=high,Backpack=OSMOS}"
"{VolumeFiltered=high,Backpack=OSMOS,Site=1} => {eDNAConc=high}",0.0476190476190476,1,0.0476190476190476,1.68,6,0.0408838863814645,0.0747875970392643,1,4,"{VolumeFiltered=high,Backpack=OSMOS,Site=1}"
"{pH=high,DissolvedOxygen=low,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,4,"{pH=high,DissolvedOxygen=low,Backpack=OSMOS}"
"{pH=high,DissolvedOxygen=low,VolumeFiltered=low} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,4,"{pH=high,DissolvedOxygen=low,VolumeFiltered=low}"
"{DissolvedOxygen=high,VolumeFiltered=high,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,4,"{DissolvedOxygen=high,VolumeFiltered=high,Backpack=OSMOS}"
"{pH=high,VolumeFiltered=high,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,4,"{pH=high,VolumeFiltered=high,Backpack=OSMOS}"
"{eFishCatch=present,VolumeFiltered=high,Backpack=ANDe} => {eDNAConc=high}",0.182539682539683,0.766666666666667,0.238095238095238,1.288,23,0.0221198502289591,0.04483753424789,1,4,"{eFishCatch=present,VolumeFiltered=high,Backpack=ANDe}"
"{eFishCatch=present,DissolvedOxygen=high,VolumeFiltered=high} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,4,"{eFishCatch=present,DissolvedOxygen=high,VolumeFiltered=high}"
"{eFishCatch=present,pH=high,VolumeFiltered=high} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18,0.0665771760636767,0.10346651796528,1,4,"{eFishCatch=present,pH=high,VolumeFiltered=high}"
"{eFishCatch=present,VolumeFiltered=low,Backpack=OSMOS} => {eDNAConc=high}",0.246031746031746,0.861111111111111,0.285714285714286,1.44666666666667,31,7.22678926094125e-05,0.00180669731523531,0.00542009194570594,4,"{eFishCatch=present,VolumeFiltered=low,Backpack=OSMOS}"
"{eFishCatch=present,DissolvedOxygen=high,Backpack=OSMOS} => {eDNAConc=high}",0.166666666666667,0.875,0.19047619047619,1.47,21,0.00128304014024772,0.00387042141837744,0.0962280105185789,4,"{eFishCatch=present,DissolvedOxygen=high,Backpack=OSMOS}"
"{eFishCatch=present,pH=high,Backpack=OSMOS} => {eDNAConc=high}",0.261904761904762,0.916666666666667,0.285714285714286,1.54,33,1.06482916897156e-06,7.9862187672867e-05,7.9862187672867e-05,4,"{eFishCatch=present,pH=high,Backpack=OSMOS}"
"{eFishCatch=present,Conductivity=low,Backpack=ANDe} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17,0.152968723641291,0.191210904551614,1,4,"{eFishCatch=present,Conductivity=low,Backpack=ANDe}"
"{eFishCatch=present,WaterTemp=low,Backpack=ANDe} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17,0.152968723641291,0.191210904551614,1,4,"{eFishCatch=present,WaterTemp=low,Backpack=ANDe}"
"{eFishCatch=present,AirTemp=low,Backpack=ANDe} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17,0.152968723641291,0.191210904551614,1,4,"{eFishCatch=present,AirTemp=low,Backpack=ANDe}"
"{eFishCatch=present,Conductivity=low,VolumeFiltered=low} => {eDNAConc=high}",0.126984126984127,0.888888888888889,0.142857142857143,1.49333333333333,16,0.00447260205462114,0.0108208114224705,0.335445154096585,4,"{eFishCatch=present,Conductivity=low,VolumeFiltered=low}"
"{pH=high,Conductivity=low,VolumeFiltered=low} => {eDNAConc=high}",0.103174603174603,0.722222222222222,0.142857142857143,1.21333333333333,13,0.177860402134858,0.211738573970069,1,4,"{pH=high,Conductivity=low,VolumeFiltered=low}"
"{eFishCatch=present,WaterTemp=low,VolumeFiltered=low} => {eDNAConc=high}",0.126984126984127,0.888888888888889,0.142857142857143,1.49333333333333,16,0.00447260205462114,0.0108208114224705,0.335445154096585,4,"{eFishCatch=present,WaterTemp=low,VolumeFiltered=low}"
"{WaterTemp=low,pH=high,VolumeFiltered=low} => {eDNAConc=high}",0.103174603174603,0.722222222222222,0.142857142857143,1.21333333333333,13,0.177860402134858,0.211738573970069,1,4,"{WaterTemp=low,pH=high,VolumeFiltered=low}"
"{eFishCatch=present,AirTemp=low,VolumeFiltered=low} => {eDNAConc=high}",0.126984126984127,0.888888888888889,0.142857142857143,1.49333333333333,16,0.00447260205462114,0.0108208114224705,0.335445154096585,4,"{eFishCatch=present,AirTemp=low,VolumeFiltered=low}"
"{AirTemp=low,pH=high,VolumeFiltered=low} => {eDNAConc=high}",0.103174603174603,0.722222222222222,0.142857142857143,1.21333333333333,13,0.177860402134858,0.211738573970069,1,4,"{AirTemp=low,pH=high,VolumeFiltered=low}"
"{eFishCatch=present,pH=high,Conductivity=low} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18,0.0665771760636767,0.10346651796528,1,4,"{eFishCatch=present,pH=high,Conductivity=low}"
"{eFishCatch=present,WaterTemp=low,pH=high} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18,0.0665771760636767,0.10346651796528,1,4,"{eFishCatch=present,WaterTemp=low,pH=high}"
"{eFishCatch=present,AirTemp=low,pH=high} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18,0.0665771760636767,0.10346651796528,1,4,"{eFishCatch=present,AirTemp=low,pH=high}"
"{eFishCatch=present,pH=high,Conductivity=low,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,5,"{eFishCatch=present,pH=high,Conductivity=low,Backpack=OSMOS}"
"{eFishCatch=present,WaterTemp=low,pH=high,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,5,"{eFishCatch=present,WaterTemp=low,pH=high,Backpack=OSMOS}"
"{eFishCatch=present,AirTemp=low,pH=high,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,5,"{eFishCatch=present,AirTemp=low,pH=high,Backpack=OSMOS}"
"{eFishCatch=present,pH=high,Conductivity=low,VolumeFiltered=low} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,5,"{eFishCatch=present,pH=high,Conductivity=low,VolumeFiltered=low}"
"{eFishCatch=present,WaterTemp=low,pH=high,VolumeFiltered=low} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,5,"{eFishCatch=present,WaterTemp=low,pH=high,VolumeFiltered=low}"
"{eFishCatch=present,AirTemp=low,pH=high,VolumeFiltered=low} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,5,"{eFishCatch=present,AirTemp=low,pH=high,VolumeFiltered=low}"
